notebook,config_path,start_at,end_at,duration_sec,outputs,warnings,git_commit,python_version
01_data_pipeline,configs/experiment.yaml,2026-04-30T04:57:17+00:00,2026-04-30T05:24:00+00:00,1603.34,data\processed\2016.parquet | data\processed\2016_non_english.parquet | data\processed\2017.parquet | data\processed\2017_non_english.parquet | data\processed\2018.parquet | data\processed\2018_non_english.parquet | data\processed\2019.parquet | data\processed\2019_non_english.parquet | data\processed\2020.parquet | data\processed\2020_non_english.parquet | data\processed\2021.parquet | data\processed\2021_non_english.parquet | data\processed\2022.parquet | data\processed\2022_non_english.parquet | data\processed\2023.parquet | data\processed\2023_non_english.parquet | data\processed\2024.parquet | data\processed\2024_non_english.parquet | data\processed\2025.parquet | data\processed\2025_non_english.parquet | data\processed\202601.parquet | data\processed\202601_non_english.parquet | data\processed\202602.parquet | data\processed\202602_non_english.parquet | data\processed\202603.parquet | data\processed\202603_non_english.parquet | data\processed\202604.parquet | data\processed\202604_non_english.parquet | configs\experiment.yaml,,be03038,3.10.0
02_gold_sampling,configs/experiment.yaml,2026-04-30T06:35:37+00:00,2026-04-30T06:35:42+00:00,4.83,data\gold\sample.csv | configs\experiment.yaml,,be03038,3.10.0
03_annotation_review,configs/experiment.yaml,2026-05-04T08:44:16+00:00,2026-05-04T08:44:17+00:00,0.99,data\gold\gold_final.csv | data\gold\agreement_report.md | data\gold\train.csv | data\gold\test.csv | configs\experiment.yaml,,be03038,3.10.0
03_annotation_review,configs/experiment.yaml,2026-05-04T08:46:17+00:00,2026-05-04T08:46:19+00:00,1.63,data\gold\gold_final.csv | data\gold\agreement_report.md | data\gold\train.csv | data\gold\test.csv | configs\experiment.yaml,,be03038,3.10.0
03_annotation_review,configs/experiment.yaml,2026-05-04T08:50:42+00:00,2026-05-04T08:50:43+00:00,0.4,data\gold\gold_final.csv | data\gold\agreement_report.md | data\gold\train.csv | data\gold\test.csv | configs\experiment.yaml,Dedup: drop 31 duplicate keys (match_id+time+player_slot),be03038,3.10.0
04_training,configs/experiment.yaml,2026-05-04T10:05:24+00:00,2026-05-04T17:01:30+00:00,24965.52,models\bert-sentiment | reports\training_bert_sentiment.log | models\bert-toxicity | reports\training_bert_toxicity.log | models\roberta-sentiment | reports\training_roberta_sentiment.log | models\roberta-toxicity | reports\training_roberta_toxicity.log | models\distilbert-sentiment | reports\training_distilbert_sentiment.log | models\distilbert-toxicity | reports\training_distilbert_toxicity.log | models\detoxify\manifest.json | configs\experiment.yaml,bert/toxicity validation F1-micro=0.797 < threshold 0.85 (spec) | roberta/toxicity validation F1-micro=0.803 < threshold 0.85 (spec) | distilbert/toxicity validation F1-micro=0.796 < threshold 0.85 (spec),be03038,3.10.0
05_inference,configs/experiment.yaml,2026-05-05T04:56:14+00:00,2026-05-05T06:05:20+00:00,4145.84,data\inference\bert_sentiment\2016.parquet | data\inference\bert_sentiment\2017.parquet | data\inference\bert_sentiment\2018.parquet | data\inference\bert_sentiment\2019.parquet | data\inference\bert_sentiment\2020.parquet | data\inference\bert_sentiment\2021.parquet | data\inference\bert_sentiment\2022.parquet | data\inference\bert_sentiment\2023.parquet | data\inference\bert_sentiment\2024.parquet | data\inference\bert_sentiment\2025.parquet | data\inference\bert_sentiment\202601.parquet | data\inference\bert_sentiment\202602.parquet | data\inference\bert_sentiment\202603.parquet | data\inference\bert_sentiment\202604.parquet | data\inference\bert_toxicity\2016.parquet | data\inference\bert_toxicity\2017.parquet | data\inference\bert_toxicity\2018.parquet | data\inference\bert_toxicity\2019.parquet | data\inference\bert_toxicity\2020.parquet | data\inference\bert_toxicity\2021.parquet | data\inference\bert_toxicity\2022.parquet | data\inference\bert_toxicity\2023.parquet | data\inference\bert_toxicity\2024.parquet | data\inference\bert_toxicity\2025.parquet | data\inference\bert_toxicity\202601.parquet | data\inference\bert_toxicity\202602.parquet | data\inference\bert_toxicity\202603.parquet | data\inference\bert_toxicity\202604.parquet | data\inference\roberta_sentiment\2016.parquet | data\inference\roberta_sentiment\2017.parquet | data\inference\roberta_sentiment\2018.parquet | data\inference\roberta_sentiment\2019.parquet | data\inference\roberta_sentiment\2020.parquet | data\inference\roberta_sentiment\2021.parquet | data\inference\roberta_sentiment\2022.parquet | data\inference\roberta_sentiment\2023.parquet | data\inference\roberta_sentiment\2024.parquet | data\inference\roberta_sentiment\2025.parquet | data\inference\roberta_sentiment\202601.parquet | data\inference\roberta_sentiment\202602.parquet | data\inference\roberta_sentiment\202603.parquet | data\inference\roberta_sentiment\202604.parquet | data\inference\roberta_toxicity\2016.parquet | data\inference\roberta_toxicity\2017.parquet | data\inference\roberta_toxicity\2018.parquet | data\inference\roberta_toxicity\2019.parquet | data\inference\roberta_toxicity\2020.parquet | data\inference\roberta_toxicity\2021.parquet | data\inference\roberta_toxicity\2022.parquet | data\inference\roberta_toxicity\2023.parquet | data\inference\roberta_toxicity\2024.parquet | data\inference\roberta_toxicity\2025.parquet | data\inference\roberta_toxicity\202601.parquet | data\inference\roberta_toxicity\202602.parquet | data\inference\roberta_toxicity\202603.parquet | data\inference\roberta_toxicity\202604.parquet | data\inference\distilbert_sentiment\2016.parquet | data\inference\distilbert_sentiment\2017.parquet | data\inference\distilbert_sentiment\2018.parquet | data\inference\distilbert_sentiment\2019.parquet | data\inference\distilbert_sentiment\2020.parquet | data\inference\distilbert_sentiment\2021.parquet | data\inference\distilbert_sentiment\2022.parquet | data\inference\distilbert_sentiment\2023.parquet | data\inference\distilbert_sentiment\2024.parquet | data\inference\distilbert_sentiment\2025.parquet | data\inference\distilbert_sentiment\202601.parquet | data\inference\distilbert_sentiment\202602.parquet | data\inference\distilbert_sentiment\202603.parquet | data\inference\distilbert_sentiment\202604.parquet | data\inference\distilbert_toxicity\2016.parquet | data\inference\distilbert_toxicity\2017.parquet | data\inference\distilbert_toxicity\2018.parquet | data\inference\distilbert_toxicity\2019.parquet | data\inference\distilbert_toxicity\2020.parquet | data\inference\distilbert_toxicity\2021.parquet | data\inference\distilbert_toxicity\2022.parquet | data\inference\distilbert_toxicity\2023.parquet | data\inference\distilbert_toxicity\2024.parquet | data\inference\distilbert_toxicity\2025.parquet | data\inference\distilbert_toxicity\202601.parquet | data\inference\distilbert_toxicity\202602.parquet | data\inference\distilbert_toxicity\202603.parquet | data\inference\distilbert_toxicity\202604.parquet | data\inference\detoxify_toxicity\2016.parquet | data\inference\detoxify_toxicity\2017.parquet | data\inference\detoxify_toxicity\2018.parquet | data\inference\detoxify_toxicity\2019.parquet | data\inference\detoxify_toxicity\2020.parquet | data\inference\detoxify_toxicity\2021.parquet | data\inference\detoxify_toxicity\2022.parquet | data\inference\detoxify_toxicity\2023.parquet | data\inference\detoxify_toxicity\2024.parquet | data\inference\detoxify_toxicity\2025.parquet | data\inference\detoxify_toxicity\202601.parquet | data\inference\detoxify_toxicity\202602.parquet | data\inference\detoxify_toxicity\202603.parquet | data\inference\detoxify_toxicity\202604.parquet,,be03038,3.10.0
06_comparative_evaluation,configs/experiment.yaml,2026-05-05T06:50:19+00:00,2026-05-05T06:50:55+00:00,36.15,reports\eval_sentiment.csv | reports\eval_toxicity.csv | reports\jargon_error_breakdown.csv | reports\comparison_summary.md,,be03038,3.10.0
07_temporal_analysis,configs/experiment.yaml,2026-05-05T07:13:21+00:00,2026-05-05T07:13:39+00:00,17.45,reports\temporal_monthly.csv | reports\temporal_yearly.csv | reports\plots\temporal_sentiment_monthly.png | reports\plots\temporal_negative_pct_monthly.png | reports\plots\temporal_toxicity_monthly.png | reports\plots\temporal_toxicity_score_monthly.png | reports\temporal_tests.csv | reports\event_comparison.csv,,be03038,3.10.0
08_correlation_analysis,configs/experiment.yaml,2026-05-05T07:28:57+00:00,2026-05-05T07:29:48+00:00,51.18,reports\correlation_tests.csv | reports\plots\correlation_duration_toxicity.png | reports\plots\correlation_outcome_sentiment.png | reports\plots\correlation_outcome_toxicity.png | reports\plots\correlation_phase_toxicity.png | reports\plots\correlation_tier_toxicity.png | reports\correlation_robustness_per_match.csv | reports\correlation_summary.md,,be03038,3.10.0
09_imbalance_metrics,configs/experiment.yaml,2026-06-08T12:02:55+00:00,2026-06-08T12:03:37+00:00,41.33,reports\eval_imbalance_sentiment.csv | reports\eval_imbalance_toxicity.csv,,da158c0,3.10.0
